"sale_id","sale_date","customer_id","customer_email","sku","product_name","quantity","unit_price","total_amount","status"
"ECO0012025","05-10-2025 06:03:06","CUST-1001","miguel.pereira@mail.pt","ERP--MOU--006--2024","Logitech MX Keys Mechanical Keyboard","3 un","343,67","865,39 EUR","Completed"
"ECO -002 -2025","03/10/2025 22:55","CUST_1002","alice.leal@sapo.pt","ERP-LAP-001-2024","Logitech MX Keys Mechanical Keyboard","3 unidades","EUR 1151,14","€1503,24","Completed"
"ECO -003 -2025","05-10-2025 19:17:55","CUST 1003","eduarda.cardoso@gmail.com","ERP_MON_004_2024","Apple iPad Pro 12.9 512GB","1 unidade","1435,56","EUR 748,24","Completed"
"ECO -004 -2025","2025-10-03T03:01:40Z","CUST_1004","maria.batista@gmail.com","ERP-LAP-001-2024","Apple iPad Pro 12.9 512GB","2 un","351,78€","2350,02€","Completed"
"ECO -005 -2025","2025/10/04 07:53","CUST_1005","paulo_santos@hotmail.com","ERP--MON--004--2024","Apple iPad Pro 12.9 512GB","2 unidades","201,52€","2524,51","COMPLETED"
"ECO0062025","2025-10-07T19:05:54Z","CUST_1006","elias_alves@yahoo.com","ERP TAB 003 2024","Apple iPad Pro 12.9 512GB","2 unidades","1062,76€","106,08","completed"
"ECO -007 -2025","09/10/2025 02:28","CUST_1007","francisco_matias84..live.com","ERP/MOU/006/2024","Logitech MX Master 3S Mouse","2","EUR 605,37","1138,88 EUR","Completed"
"ECO-008-2025","2025/10/06 00:27","CUST 1008","jaime13@aeiou.pt","ERP LAP 001 2024","ASUS VivoBook 15 Laptop","2","1077,56€","€2211,49","processing"
"ECO -009 -2025","08/10/2025","CUST-1009","erica_figueiredo8@portugalmail.pt","ERP-LAP-001-2024","Samsung Galaxy S24 Ultra","1 un.","€635,13","€2572,45","completed"
"ECO-010-2025","01/10/2025","CUST-1010","rafaela_garcia..gmail.com","ERP/KEY/005/2024","ASUS VivoBook 15 Laptop","2","160,14 EUR","1866,03 EUR","PENDING"
"ECO -011 -2025","06/10/2025 14:22","CUST 1011","aurora_costa@mail.pt","ERP--LAP--001--2024","Samsung Galaxy S24 Ultra","3","965,50 EUR","EUR 877,78","COMPLETED"
"ECO0122025","08/10/2025","CUST_1012","carla.magalhaes..outlook.com","ERP PHONE 002 2024","Samsung Galaxy S24 Ultra","3 un.","313,82","€2468,04","completed"
"ECO -013 -2025","05/10/2025 08:44","CUST 1013","constanca.lima..aeiou.pt","ERP-PHONE-002-2024","Logitech MX Master 3S Mouse","2 un","340,19 EUR","€325,97","PENDING"
"ECO -014 -2025","07/10/2025","CUST-1014","alice.simoes11@hotmail.com","ERP_TAB_003_2024","Apple iPad Pro 12.9 512GB","1","607,73 EUR","€947,57","COMPLETED"
"ECO-015-2025","05-10-2025 22:46:24","CUST-1015","artur_teixeira21@mail.pt","ERP_KEY_005_2024","Logitech MX Master 3S Mouse","1 unidade","€1345,16","€2892,48","processing"
"ECO -016 -2025","05-10-2025 19:40:30","CUST-1016","leticia37..hotmail.com","ERP-MOU-006-2024","Apple iPad Pro 12.9 512GB","3 un.","743,87€","2020,11 EUR","COMPLETED"
"ECO-017-2025","09/10/2025 21:59","CUST_1017","diogo34..outlook.com","ERP-MOU-006-2024","Samsung Galaxy S24 Ultra","1 un","€420,85","€934,31","processing"
"ECO -018 -2025","08/10/2025","CUST 1018","jessica.valente..mail.pt","ERP_TAB_003_2024","ASUS VivoBook 15 Laptop","3 unidades","616,46 EUR","EUR 2233,54","PENDING"
"ECO-019-2025","2025/10/09 07:05","CUST 1019","julia.vicente31@live.com","ERP_MOU_006_2024","Logitech MX Keys Mechanical Keyboard","2 un.","214,00 EUR","EUR 2488,88","completed"
"ECO0202025","05/10/2025 01:37","CUST-1020","gil.raposo36@portugalmail.pt","ERP-LAP-001-2024","Apple iPad Pro 12.9 512GB","1 unidade","EUR 1031,40","1702,65 EUR","COMPLETED"
