sale_id;sale_date;customer_id;customer_email;sku;product_name;quantity;unit_price;total_amount;status
ECO0012025;2025-10-01T07:35:04Z;CUST_1001;adriana.anjos78..live.com;ERP-PHONE-002-2024;ASUS VivoBook 15 Laptop  ;1;€542,91;€510,66;COMPLETED
ECO0022025;08-10-2025 06:25:42;CUST-1002;joao_tavares89..live.com;ERP--MON--004--2024;  LG UltraWide 34" Monitor  ;3 unidades;1185,53€;€2774,79;Completed
ECO-003-2025  ;01-10-2025 19:44:42;CUST_1003;gaspar.torres@hotmail.com;ERP MON 004 2024;Apple iPad Pro 12.9 512GB  ;1 un.;€573,68;1410,32;Completed
ECO -004 -2025;04-10-2025 21:39:20;CUST-1004;juliana_brito44@mail.pt;  ERP-KEY-005-2024  ;  Logitech MX Master 3S Mouse;2 unidades;846,78€;EUR 2624,95;PENDING
ECO -005 -2025;05/10/2025 14:26;CUST 1005;soraia.correia66@aeiou.pt  ;ERP-MON-004-2024  ;  LG UltraWide 34" Monitor;1;1107,77€;2317,88;COMPLETED
ECO-006-2025;2025/10/04 19:31;CUST-1006;emilia7..gmail.com;ERP/MON/004/2024;  Logitech MX Keys Mechanical Keyboard  ;3;EUR 211,11;€740,99;COMPLETED
ECO0072025;2025/10/04 14:08;CUST-1007;laura_reis..live.com;ERP--TAB--003--2024;Logitech MX Master 3S Mouse;2 unidades;1323,52€;2533,76€;PENDING
ECO -008 -2025;01/10/2025 05:07;CUST-1008;mafalda.braga95@live.com;  ERP-PHONE-002-2024;  Apple iPad Pro 12.9 512GB;2;535,47;1542,99€;completed
ECO0092025;04/10/2025;CUST-1009;daniel.cunha@mail.pt;ERP_LAP_001_2024;Apple iPad Pro 12.9 512GB  ;3 un.;365,56 EUR;158,33;completed
ECO-010-2025;08/10/2025 07:53;CUST_1010;cesar41..portugalmail.pt;ERP--LAP--001--2024;  Logitech MX Keys Mechanical Keyboard  ;1 un;1033,49;€2431,42;processing
ECO-011-2025;07/10/2025;CUST-1011;julieta_coelho@sapo.pt;ERP/KEY/005/2024;LG UltraWide 34" Monitor;2 unidades;EUR 467,89;2705,23 EUR;completed
ECO -012 -2025;06/10/2025;CUST_1012;celia_leite72..hotmail.com;ERP MON 004 2024;LG UltraWide 34" Monitor  ;2;€866,54;109,71 EUR;Completed
ECO-013-2025;08/10/2025;CUST 1013;raul_vicente54@portugalmail.pt;ERP--LAP--001--2024;  Logitech MX Keys Mechanical Keyboard;2 un.;1253,29;EUR 2597,77;PENDING
ECO-014-2025;03/10/2025 05:14;CUST 1014;safira_correia48@outlook.com;ERP/MOU/006/2024;  Logitech MX Keys Mechanical Keyboard;1 un.;EUR 1268,20;2867,96€;PENDING
ECO -015 -2025;03-10-2025 08:03:48;CUST-1015;barbara58..hotmail.com;ERP_MON_004_2024;  LG UltraWide 34" Monitor;1 un;EUR 507,33;514,00€;Completed
ECO0162025;2025/10/02 22:35;CUST_1016;sandro51@hotmail.com;ERP-LAP-001-2024;  Logitech MX Master 3S Mouse;1 unidade;EUR 929,18;€673,08;pending
  ECO-017-2025  ;02-10-2025 04:25:01;CUST-1017;rafaela.nogueira25..live.com;ERP--TAB--003--2024;LG UltraWide 34" Monitor;2 unidades;EUR 266,13;2456,05€;PENDING
