"sale_id";"sale_date";"customer_id";"customer_email";"sku";"product_name";"quantity";"unit_price";"total_amount";"status"
"ECO-001-2025";"04/10/2025";"CUST-1001";"diana16@portugalmail.pt";"ERP-LAP-001-2024";"Apple iPad Pro 12.9 512GB";"1";"189,85";"1726,12";"pending"
"ECO-002-2025";"04/10/2025";"CUST-1002";"elisa38@live.com";"ERP-MOU-006-2024";"Apple iPad Pro 12.9 512GB";"3";"284,67";"2133,67";"completed"
"ECO-003-2025";"04/10/2025";"CUST-1003";"tiago_martins33@hotmail.com";"ERP-TAB-003-2024";"Logitech MX Keys Mechanical Keyboard";"2";"354,67";"616,39";"processing"
"ECO-004-2025";"09/10/2025";"CUST-1004";"moises_leal59@yahoo.com";"ERP-KEY-005-2024";"Logitech MX Keys Mechanical Keyboard";"3";"585,13";"2355,14";"completed"
"ECO-005-2025";"03/10/2025";"CUST-1005";"artur.pereira@gmail.com";"ERP-TAB-003-2024";"ASUS VivoBook 15 Laptop";"3";"990,29";"1610,22";"completed"
"ECO-006-2025";"05/10/2025";"CUST-1006";"flor_goncalves@live.com";"ERP-MOU-006-2024";"Samsung Galaxy S24 Ultra";"1";"1265,04";"874,30";"completed"
"ECO-007-2025";"03/10/2025";"CUST-1007";"diogo.barros77@gmail.com";"ERP-MOU-006-2024";"Logitech MX Master 3S Mouse";"1";"1464,98";"2451,35";"completed"
"ECO-008-2025";"02/10/2025";"CUST-1008";"eduardo41@portugalmail.pt";"ERP-MOU-006-2024";"Apple iPad Pro 12.9 512GB";"1";"1165,40";"2556,18";"completed"
"ECO-009-2025";"07/10/2025";"CUST-1009";"ruben_carvalho29@sapo.pt";"ERP-KEY-005-2024";"Logitech MX Master 3S Mouse";"2";"495,23";"1193,98";"processing"
"ECO-010-2025";"01/10/2025";"CUST-1010";"mateus.machado@aeiou.pt";"ERP-PHONE-002-2024";"LG UltraWide 34"" Monitor";"1";"1120,12";"1755,05";"completed"
"ECO-011-2025";"09/10/2025";"CUST-1011";"luna.oliveira@hotmail.com";"ERP-MOU-006-2024";"LG UltraWide 34"" Monitor";"2";"871,07";"2690,43";"completed"
"ECO-012-2025";"08/10/2025";"CUST-1012";"jessica_simoes@aeiou.pt";"ERP-LAP-001-2024";"Logitech MX Keys Mechanical Keyboard";"1";"121,32";"933,46";"completed"
"ECO-013-2025";"09/10/2025";"CUST-1013";"ofelia.raposo39@hotmail.com";"ERP-TAB-003-2024";"LG UltraWide 34"" Monitor";"3";"1418,71";"2801,00";"pending"
"ECO-014-2025";"08/10/2025";"CUST-1014";"marta_neto57@sapo.pt";"ERP-LAP-001-2024";"LG UltraWide 34"" Monitor";"2";"1014,76";"2241,16";"completed"
"ECO-015-2025";"02/10/2025";"CUST-1015";"julio18@sapo.pt";"ERP-LAP-001-2024";"ASUS VivoBook 15 Laptop";"3";"295,84";"591,63";"pending"
"ECO-016-2025";"07/10/2025";"CUST-1016";"igor.oliveira@mail.pt";"ERP-LAP-001-2024";"ASUS VivoBook 15 Laptop";"2";"940,75";"1419,95";"completed"
"ECO-017-2025";"05/10/2025";"CUST-1017";"carminho.soares32@outlook.com";"ERP-TAB-003-2024";"Logitech MX Keys Mechanical Keyboard";"2";"104,80";"2299,39";"completed"
"ECO-018-2025";"02/10/2025";"CUST-1018";"matilde.borges@portugalmail.pt";"ERP-LAP-001-2024";"LG UltraWide 34"" Monitor";"3";"1267,30";"1014,55";"completed"
"ECO-019-2025";"09/10/2025";"CUST-1019";"tomas70@sapo.pt";"ERP-KEY-005-2024";"LG UltraWide 34"" Monitor";"2";"779,65";"579,99";"completed"
"ECO-020-2025";"07/10/2025";"CUST-1020";"ofelia_figueiredo@portugalmail.pt";"ERP-KEY-005-2024";"Apple iPad Pro 12.9 512GB";"2";"285,02";"1181,93";"completed"
"ECO-021-2025";"05/10/2025";"CUST-1021";"madalena_matos87@yahoo.com";"ERP-PHONE-002-2024";"LG UltraWide 34"" Monitor";"3";"605,59";"1826,31";"completed"
"ECO-022-2025";"08/10/2025";"CUST-1022";"igor.barbosa47@yahoo.com";"ERP-MON-004-2024";"ASUS VivoBook 15 Laptop";"3";"1496,47";"2862,17";"pending"
"ECO-023-2025";"01/10/2025";"CUST-1023";"mara79@yahoo.com";"ERP-PHONE-002-2024";"LG UltraWide 34"" Monitor";"3";"330,64";"2107,16";"processing"
"ECO-024-2025";"02/10/2025";"CUST-1024";"madalena_fernandes@live.com";"ERP-MOU-006-2024";"Apple iPad Pro 12.9 512GB";"2";"932,02";"879,84";"completed"
"ECO-025-2025";"04/10/2025";"CUST-1025";"filipa83@live.com";"ERP-KEY-005-2024";"Samsung Galaxy S24 Ultra";"2";"1372,37";"484,12";"pending"
"ECO-026-2025";"01/10/2025";"CUST-1026";"carlota81@sapo.pt";"ERP-LAP-001-2024";"ASUS VivoBook 15 Laptop";"2";"957,17";"1358,34";"completed"
"ECO-027-2025";"08/10/2025";"CUST-1027";"natalia74@outlook.com";"ERP-MON-004-2024";"Logitech MX Keys Mechanical Keyboard";"2";"276,94";"1715,36";"pending"
"ECO-028-2025";"07/10/2025";"CUST-1028";"jessica.coelho@portugalmail.pt";"ERP-PHONE-002-2024";"Apple iPad Pro 12.9 512GB";"2";"503,82";"1569,71";"completed"
"ECO-029-2025";"09/10/2025";"CUST-1029";"valter_raposo28@mail.pt";"ERP-LAP-001-2024";"Apple iPad Pro 12.9 512GB";"3";"1258,56";"2512,60";"completed"
"ECO-030-2025";"02/10/2025";"CUST-1030";"nuno23@yahoo.com";"ERP-MOU-006-2024";"Logitech MX Keys Mechanical Keyboard";"3";"110,99";"1589,46";"completed"
"ECO-031-2025";"09/10/2025";"CUST-1031";"frederica.maia19@mail.pt";"ERP-MON-004-2024";"Apple iPad Pro 12.9 512GB";"1";"882,98";"718,02";"pending"
"ECO-032-2025";"01/10/2025";"CUST-1032";"tome77@gmail.com";"ERP-LAP-001-2024";"Samsung Galaxy S24 Ultra";"1";"608,26";"1050,69";"processing"
"ECO-033-2025";"08/10/2025";"CUST-1033";"cesar_garcia@gmail.com";"ERP-LAP-001-2024";"Logitech MX Keys Mechanical Keyboard";"1";"377,82";"1240,71";"pending"
"ECO-034-2025";"03/10/2025";"CUST-1034";"frederico.araujo30@aeiou.pt";"ERP-TAB-003-2024";"Samsung Galaxy S24 Ultra";"2";"973,43";"2981,25";"pending"
"ECO-035-2025";"06/10/2025";"CUST-1035";"luis.faria@portugalmail.pt";"ERP-PHONE-002-2024";"Samsung Galaxy S24 Ultra";"2";"1171,65";"2267,43";"pending"
"ECO-036-2025";"06/10/2025";"CUST-1036";"cecilia65@hotmail.com";"ERP-PHONE-002-2024";"Logitech MX Master 3S Mouse";"3";"1249,23";"1621,18";"completed"
