sale_id;sale_date;customer_id;customer_email;sku;product_name;quantity;unit_price;total_amount;status
ECO -001 -2025;2025/10/07 20:32;CUST-1001;catarina.neto71@sapo.pt;  ERP-TAB-003-2024  ;Apple iPad Pro 12.9 512GB;2 unidades;EUR 756,70;2347,89 EUR;pending
ECO-002-2025  ;04/10/2025 02:40;CUST-1002;  joaquim72@hotmail.com;ERP-KEY-005-2024  ;Apple iPad Pro 12.9 512GB  ;1 unidade;628,00€;2150,34;Completed
  ECO-003-2025  ;04-10-2025 01:02:26;CUST_1003;  matias76@outlook.com  ;ERP PHONE 002 2024;ASUS VivoBook 15 Laptop;2 unidades;608,23€;EUR 2438,34;processing
ECO-004-2025;2025-10-08T17:39:50Z;CUST 1004;eduardo70@portugalmail.pt;ERP/TAB/003/2024;  ASUS VivoBook 15 Laptop;2 unidades;EUR 436,54;EUR 1426,65;Completed
ECO-005-2025;08/10/2025;CUST_1005;  valter_lourenco@mail.pt;ERP PHONE 002 2024;Apple iPad Pro 12.9 512GB;1 un.;509,48€;€1147,50;PENDING
ECO-006-2025;05/10/2025;CUST-1006;valentina_magalhaes..gmail.com;ERP/MON/004/2024;Apple iPad Pro 12.9 512GB  ;3 un;EUR 1137,79;406,15€;completed
ECO-007-2025;03-10-2025 08:26:42;CUST 1007;  celia93@yahoo.com  ;ERP-MOU-006-2024  ;Logitech MX Master 3S Mouse  ;1 unidade;569,00€;583,42€;PENDING
ECO-008-2025;05/10/2025 15:15;CUST 1008;vicente.castro@hotmail.com;ERP--MON--004--2024;Samsung Galaxy S24 Ultra  ;2 unidades;109,23 EUR;260,60 EUR;PENDING
ECO0092025;02-10-2025 06:22:36;CUST-1009;  irina80@yahoo.com  ;ERP/KEY/005/2024;Logitech MX Master 3S Mouse;3 un;923,57 EUR;EUR 2287,89;pending
ECO-010-2025  ;09/10/2025 22:05;CUST-1010;vicente_lourenco@yahoo.com;ERP_KEY_005_2024;  LG UltraWide 34" Monitor;1 unidade;EUR 1327,42;814,20€;pending
ECO0112025;2025/10/09 14:14;CUST-1011;gaspar.batista3@live.com;ERP MOU 006 2024;  LG UltraWide 34" Monitor  ;3 un;592,27€;2363,18;completed
ECO-012-2025;2025/10/05 08:40;CUST_1012;afonso_martins@hotmail.com;ERP_LAP_001_2024;  Apple iPad Pro 12.9 512GB;1 un.;260,58€;161,47€;pending
ECO0132025;03/10/2025;CUST-1013;micael59..portugalmail.pt;ERP_LAP_001_2024;  Apple iPad Pro 12.9 512GB;3;€1374,29;514,04;Completed
ECO-014-2025;07/10/2025 08:26;CUST 1014;mafalda44@hotmail.com;ERP-KEY-005-2024;LG UltraWide 34" Monitor  ;1;EUR 1491,57;760,72;completed
ECO0152025;06-10-2025 17:54:49;CUST 1015;ricardo2..hotmail.com;  ERP-TAB-003-2024;  LG UltraWide 34" Monitor;3 un.;889,46;EUR 2675,76;Completed
ECO -016 -2025;07-10-2025 23:59:27;CUST-1016;samuel40..live.com;ERP_KEY_005_2024;  Logitech MX Master 3S Mouse;3 un;EUR 842,33;€486,83;pending
ECO0172025;04-10-2025 15:47:54;CUST-1017;  simao86@yahoo.com  ;ERP--LAP--001--2024;  Samsung Galaxy S24 Ultra  ;3;196,89 EUR;193,59;COMPLETED
ECO-018-2025;2025-10-08T12:48:31Z;CUST_1018;luana_borges75@outlook.com;ERP/MOU/006/2024;  LG UltraWide 34" Monitor  ;2 unidades;296,50€;2831,33;pending
ECO-019-2025;01-10-2025 09:03:58;CUST 1019;  irina_lourenco82@outlook.com;ERP PHONE 002 2024;LG UltraWide 34" Monitor;3 un;1080,86;EUR 1158,54;PENDING
ECO-020-2025;01/10/2025;CUST-1020;carlota.teixeira@live.com;ERP_MOU_006_2024;  Logitech MX Keys Mechanical Keyboard;1 un.;1136,94€;€2923,14;COMPLETED
ECO-021-2025;2025-10-06T20:31:28Z;CUST-1021;eva.neves..hotmail.com;ERP TAB 003 2024;  Apple iPad Pro 12.9 512GB;3 unidades;233,65;1826,40 EUR;processing
ECO -022 -2025;06/10/2025 08:12;CUST-1022;feliciano22@mail.pt  ;ERP PHONE 002 2024;  LG UltraWide 34" Monitor;2 un.;658,92 EUR;2738,39€;COMPLETED
ECO0232025;04-10-2025 16:41:37;CUST-1023;jose.cunha18@portugalmail.pt;  ERP-LAP-001-2024;Samsung Galaxy S24 Ultra;2 unidades;€739,57;EUR 2059,59;completed
ECO-024-2025;02/10/2025;CUST 1024;mariana50..portugalmail.pt;ERP/PHONE/002/2024;  Samsung Galaxy S24 Ultra;2 unidades;267,13€;2205,14;Completed
ECO-025-2025;2025-10-04T23:56:30Z;CUST-1025;valter.machado..sapo.pt;ERP/KEY/005/2024;Samsung Galaxy S24 Ultra;3 unidades;1242,56;1085,69 EUR;PENDING
ECO -026 -2025;02/10/2025;CUST_1026;eva_simoes40@outlook.com;ERP_TAB_003_2024;  Apple iPad Pro 12.9 512GB;1 unidade;588,19 EUR;2046,73€;PENDING
ECO-027-2025;2025-10-05T01:12:19Z;CUST_1027;mario72@portugalmail.pt;ERP MOU 006 2024;Samsung Galaxy S24 Ultra;3 un.;902,89 EUR;EUR 947,17;pending
  ECO-028-2025  ;2025-10-03T16:27:43Z;CUST-1028;caetana.abreu@aeiou.pt;ERP MON 004 2024;LG UltraWide 34" Monitor;2 unidades;1045,11;€1041,75;PENDING
ECO0292025;2025-10-04T08:16:58Z;CUST_1029;tome_rodrigues44..yahoo.com;ERP_MOU_006_2024;  Logitech MX Master 3S Mouse  ;2 un;1208,41;443,32 EUR;PENDING
ECO-030-2025  ;01/10/2025 19:46;CUST 1030;marcos_tavares31..outlook.com;ERP_KEY_005_2024;  Apple iPad Pro 12.9 512GB;2 unidades;518,52€;1498,01;Completed
ECO -031 -2025;02/10/2025;CUST 1031;ricardo_lima@outlook.com;ERP_LAP_001_2024;ASUS VivoBook 15 Laptop  ;3;EUR 440,28;€258,45;COMPLETED
ECO-032-2025;09-10-2025 23:58:24;CUST-1032;laura84..outlook.com;ERP_MOU_006_2024;  Samsung Galaxy S24 Ultra  ;3 un;1162,09;EUR 2536,13;completed
ECO-033-2025;04/10/2025 23:58;CUST_1033;teresa_fernandes15@live.com;ERP/MON/004/2024;Samsung Galaxy S24 Ultra  ;3 un.;211,02;2191,40 EUR;processing
