"sale_id";"sale_date";"customer_id";"customer_email";"sku";"product_name";"quantity";"unit_price";"total_amount";"status"
"ECO-001-2025";"08/10/2025";"CUST-1001";"nicole.simoes@yahoo.com";"ERP-PHONE-002-2024";"Logitech MX Keys Mechanical Keyboard";"2";"1061,10";"2506,20";"pending"
"ECO-002-2025";"01/10/2025";"CUST-1002";"valter.amorim@portugalmail.pt";"ERP-MON-004-2024";"ASUS VivoBook 15 Laptop";"1";"374,96";"2553,86";"completed"
"ECO-003-2025";"03/10/2025";"CUST-1003";"olivia_soares40@yahoo.com";"ERP-PHONE-002-2024";"LG UltraWide 34"" Monitor";"2";"204,26";"729,25";"processing"
"ECO-004-2025";"09/10/2025";"CUST-1004";"catarina.reis@mail.pt";"ERP-MOU-006-2024";"Logitech MX Keys Mechanical Keyboard";"1";"926,82";"1780,94";"completed"
"ECO-005-2025";"05/10/2025";"CUST-1005";"pilar16@hotmail.com";"ERP-LAP-001-2024";"Apple iPad Pro 12.9 512GB";"1";"654,17";"695,52";"pending"
"ECO-006-2025";"07/10/2025";"CUST-1006";"vasco_simoes@aeiou.pt";"ERP-LAP-001-2024";"Samsung Galaxy S24 Ultra";"3";"1146,32";"817,85";"processing"
"ECO-007-2025";"09/10/2025";"CUST-1007";"aurora.rodrigues1@portugalmail.pt";"ERP-PHONE-002-2024";"Logitech MX Master 3S Mouse";"1";"1151,05";"1142,58";"completed"
"ECO-008-2025";"07/10/2025";"CUST-1008";"vicente.saraiva@sapo.pt";"ERP-MOU-006-2024";"Logitech MX Keys Mechanical Keyboard";"2";"703,80";"507,17";"pending"
"ECO-009-2025";"02/10/2025";"CUST-1009";"manuel.baptista@mail.pt";"ERP-TAB-003-2024";"ASUS VivoBook 15 Laptop";"2";"1025,11";"1050,83";"completed"
"ECO-010-2025";"07/10/2025";"CUST-1010";"aurora_melo32@sapo.pt";"ERP-MON-004-2024";"Logitech MX Keys Mechanical Keyboard";"3";"224,69";"869,65";"completed"
"ECO-011-2025";"01/10/2025";"CUST-1011";"cecilia_reis14@aeiou.pt";"ERP-TAB-003-2024";"Logitech MX Keys Mechanical Keyboard";"3";"888,20";"934,04";"pending"
"ECO-012-2025";"04/10/2025";"CUST-1012";"leonardo_costa@aeiou.pt";"ERP-LAP-001-2024";"Logitech MX Keys Mechanical Keyboard";"1";"272,97";"2839,85";"pending"
"ECO-013-2025";"07/10/2025";"CUST-1013";"elisa.paiva@live.com";"ERP-LAP-001-2024";"Logitech MX Keys Mechanical Keyboard";"3";"862,97";"2440,78";"completed"
"ECO-014-2025";"04/10/2025";"CUST-1014";"gabriel5@sapo.pt";"ERP-TAB-003-2024";"Apple iPad Pro 12.9 512GB";"2";"689,38";"426,42";"completed"
"ECO-015-2025";"05/10/2025";"CUST-1015";"marcelo.soares@mail.pt";"ERP-TAB-003-2024";"ASUS VivoBook 15 Laptop";"1";"506,94";"2550,44";"completed"
"ECO-016-2025";"09/10/2025";"CUST-1016";"alexandre.figueiredo26@sapo.pt";"ERP-PHONE-002-2024";"LG UltraWide 34"" Monitor";"2";"482,75";"223,02";"completed"
"ECO-017-2025";"09/10/2025";"CUST-1017";"leonardo.leite23@mail.pt";"ERP-LAP-001-2024";"LG UltraWide 34"" Monitor";"2";"1303,66";"1004,70";"completed"
"ECO-018-2025";"06/10/2025";"CUST-1018";"olivia_brito@portugalmail.pt";"ERP-TAB-003-2024";"Samsung Galaxy S24 Ultra";"1";"552,48";"2665,54";"completed"
"ECO-019-2025";"09/10/2025";"CUST-1019";"elias.nascimento@live.com";"ERP-TAB-003-2024";"Samsung Galaxy S24 Ultra";"1";"799,90";"2306,17";"completed"
"ECO-020-2025";"07/10/2025";"CUST-1020";"helio.baptista71@sapo.pt";"ERP-PHONE-002-2024";"Apple iPad Pro 12.9 512GB";"3";"515,20";"327,58";"processing"
"ECO-021-2025";"07/10/2025";"CUST-1021";"clara_barros@sapo.pt";"ERP-TAB-003-2024";"ASUS VivoBook 15 Laptop";"3";"785,55";"1505,11";"completed"
"ECO-022-2025";"02/10/2025";"CUST-1022";"silvia37@gmail.com";"ERP-MOU-006-2024";"Logitech MX Master 3S Mouse";"1";"853,78";"2729,85";"completed"
